ID,taxid,taxid2,length,name,nuctype,Htaxid,Hname,Vfamily,Hgroup,hosttype,seq_ids,order
NC_023569,1414739,1414739-1,77837,Vibrio phage SHOU24,dsDNA,670,Vibrio parahaemolyticus,Siphoviridae,Gammaproteobacteria,Prokaryote,NC_023569,13
NC_021068,573171,573171-1,57611,Vibrio phage douglas 12A4,dsDNA,641,-,-,-,Prokaryote,NC_021068,14
NC_022915,1417599,1417599-1,40471,Ralstonia phage RSK1,dsDNA,305,Ralstonia solanacearum,Podoviridae,Betaproteobacteria,Prokaryote,NC_022915,15
NC_029061,1636270,1636270-1,36315,Rhodoferax phage P26218,dsDNA,2184758,Rhodoferax sp. IMCC26218,Podoviridae,Betaproteobacteria,Prokaryote,NC_029061,16
NC_020488,1168281,1168281-1,38682,Vibrio phage VvAW1,dsDNA,672,Vibrio vulnificus,Podoviridae,Gammaproteobacteria,Prokaryote,NC_020488,17
NC_009990,469660,469660-1,37313,Thalassomonas phage BA3,dsDNA,267889,-,Podoviridae,-,Prokaryote,NC_009990,18
KC262634,1273707,1273707-1,65270,Pseudomonas virus H66,dsDNA,208964,Pseudomonas aeruginosa PAO1,Podoviridae,Gammaproteobacteria,Prokaryote,KC262634,19
NC_006552,280701,280701-1,65195,Pseudomonas virus F116,dsDNA,287,Pseudomonas aeruginosa,Podoviridae,Gammaproteobacteria,Prokaryote,NC_006552,20
NC_003324,179237,179237-1,57416,Sinorhizobium phage PBC5,dsDNA,382,Sinorhizobium meliloti,Podoviridae,Alphaproteobacteria,Prokaryote,NC_003324,21
NC_016767,1131315,1131315-1,60714,Erwinia phage PEp14,dsDNA,79967,Erwinia pyrifoliae,Podoviridae,Gammaproteobacteria,Prokaryote,NC_016767,22
NC_018452,1136535,1136535-1,61847,Burkholderia virus DC1,dsDNA,87882,-,Podoviridae,-,Prokaryote,NC_018452,23
NC_012743,644524,644524-1,62715,Burkholderia virus Bcepil02,dsDNA,95486,Burkholderia cenocepacia,Podoviridae,Betaproteobacteria,Prokaryote,NC_012743,24
NC_019917,1195073,1195073-1,62952,Burkholderia virus Bcepmigl,dsDNA,95486,Burkholderia cenocepacia,Podoviridae,Betaproteobacteria,Prokaryote,NC_019917,25
NC_005262,242527,242527-1,63882,Burkholderia virus Bcep22,dsDNA,32008,Burkholderia,Podoviridae,Betaproteobacteria,Prokaryote,NC_005262,26
NC_020869,756285,756285-1,26407,Tetraselmis viridis virus S1,dsDNA,3164,Tetraselmis,-,Chlorophyta,Eukaryote,NC_020869,27
NC_003158,1723446,1723446-1,16341,Natrinema virus SNJ1,dsDNA,1172566,Natrinema sp. J7-1,Sphaerolipoviridae,Euryarchaeota,Prokaryote,NC_003158,28
NC_016989,1154689,1154689-1,30578,Haloarcula hispanica icosahedral virus 2,dsDNA,51589,Haloarcula hispanica,Sphaerolipoviridae,Euryarchaeota,Prokaryote,NC_016989,29
NC_030848,1735722,1735722-1,31314,Haloarcula californiae icosahedral virus 1,dsDNA,244363,Haloarcula californiae,Sphaerolipoviridae,Euryarchaeota,Prokaryote,NC_030848,30
NC_007217,326574,326574-1,30889,Haloarcula hispanica virus SH1,dsDNA,51589,Haloarcula hispanica,Sphaerolipoviridae,Euryarchaeota,Prokaryote,NC_007217,31
NC_020998,1282967,1282967-1,28072,Haloarcula hispanica virus PH1,dsDNA,634497,Haloarcula hispanica ATCC 33960,Sphaerolipoviridae,Euryarchaeota,Prokaryote,NC_020998,32
NC_023859,1458670,1458670-1,59254,Microbacterium phage vB_MoxS-ISF9,dsDNA,82380,Microbacterium oxydans,Siphoviridae,Actinobacteria,Prokaryote,NC_023859,33
NC_023549,1406793,1406793-1,56789,Clavibacter phage CN1A,dsDNA,1573,Clavibacter,Siphoviridae,Actinobacteria,Prokaryote,NC_023549,34
NC_013698,686439,686439-1,58652,Clavibacter phage CMP1,dsDNA,33013,Clavibacter michiganensis subsp. michiganensis,Siphoviridae,Actinobacteria,Prokaryote,NC_013698,35
NC_009016,261726,261726-1,38197,Vibrio virus VP882,dsDNA,670,Vibrio parahaemolyticus,Myoviridae,Gammaproteobacteria,Prokaryote,NC_009016,36
NC_010342,499235,499235-1,39245,Halomonas virus HAP1,dsDNA,77097,Halomonas aquamarina,Myoviridae,Gammaproteobacteria,Prokaryote,NC_010342,37
NC_019722,1229754,1229754-1,41351,Vibrio phage vB_VpaM_MAR,dsDNA,670,Vibrio parahaemolyticus,Myoviridae,Gammaproteobacteria,Prokaryote,NC_019722,38
NC_027981,631719,631719-1,42612,Vibrio phage VP585,dsDNA,670,Vibrio parahaemolyticus,Myoviridae,Gammaproteobacteria,Prokaryote,NC_027981,39
NC_004456,207597,207597-1,43198,Vibrio phage VHML,dsDNA,669,Vibrio harveyi,Myoviridae,Gammaproteobacteria,Prokaryote,NC_004456,40
JX507079,1229761,1229761-1,59363,Acidithiobacillus phage AcaML1,dsDNA,637389,Acidithiobacillus caldus ATCC 51756,Myoviridae,Acidithiobacillia,Prokaryote,JX507079,41
NC_023006,1279082,1279082-1,43564,Pseudomonas phage PPpW-3,dsDNA,70775,Pseudomonas plecoglossicida,Myoviridae,Gammaproteobacteria,Prokaryote,NC_023006,42
NC_031048,1864622,1864622-1,41918,Enterobacter phage Arya,dsDNA,1676277,Enterobacter sp. CT7,Myoviridae,Gammaproteobacteria,Prokaryote,NC_031048,43
NC_027995,669875,669875-1,41666,Escherichia phage vB_EcoM_ECO1230-10,dsDNA,562,Escherichia coli,Myoviridae,Gammaproteobacteria,Prokaryote,NC_027995,44
NC_025430,1541883,1541883-1,42351,Escherichia phage vB_EcoM-ep3,dsDNA,562,Escherichia coli,Myoviridae,Gammaproteobacteria,Prokaryote,NC_025430,45
NC_000867,10661,10661-1,10079,Pseudoalteromonas virus PM2,dsDNA,53246,Pseudoalteromonas,Corticoviridae,Gammaproteobacteria,Prokaryote,NC_000867,46
NC_030940,1754217,1754217-1,32637,Pseudomonas phage phi3,dsDNA,286,Pseudomonas,Myoviridae,Gammaproteobacteria,Prokaryote,NC_030940,47
NC_008193,342564,342564-1,30505,Pasteurella virus F108,dsDNA,747,Pasteurella multocida,Myoviridae,Gammaproteobacteria,Prokaryote,NC_008193,48
NC_003315,157239,157239-1,31508,Haemophilus virus HP2,dsDNA,727,Haemophilus influenzae,Myoviridae,Gammaproteobacteria,Prokaryote,NC_003315,49
NC_001697,10690,10690-1,32355,Haemophilus virus HP1,dsDNA,724,Haemophilus,Myoviridae,Gammaproteobacteria,Prokaryote,NC_001697,50
HQ110083,947842,947842-1,28765,Cronobacter phage ESSI-2,dsDNA,28141,Cronobacter sakazakii,Myoviridae,Gammaproteobacteria,Prokaryote,HQ110083,51
NC_009542,393598,393598-1,33985,Aeromonas virus phiO18P,dsDNA,651,Aeromonas media,Myoviridae,Gammaproteobacteria,Prokaryote,NC_009542,52
NC_027368,1451050,1451050-1,33828,Vibrio phage PV94,dsDNA,672,Vibrio vulnificus,Myoviridae,Gammaproteobacteria,Prokaryote,NC_027368,53
NC_003313,70734,70734-1,33106,Vibrio virus K139,dsDNA,45888,Vibrio cholerae O139,Myoviridae,Gammaproteobacteria,Prokaryote,NC_003313,54
AB374228,493906,493906-1,33507,Vibrio virus Kappa,dsDNA,662,Vibrio,Myoviridae,Gammaproteobacteria,Prokaryote,AB374228,55
NC_022747,1341101,1341101-1,34145,Vibrio phage VPUSM 8,dsDNA,662,Vibrio,Myoviridae,Gammaproteobacteria,Prokaryote,NC_022747,56
NC_028898,1572744,1572744-1,35764,Mannheimia phage vB_MhM_587AP1,dsDNA,75984,Mannheimia,Myoviridae,Gammaproteobacteria,Prokaryote,NC_028898,57
DQ426905,376821,376821-1,34600,Mannheimia phage phiMhaA1-BAA410,dsDNA,75985,Mannheimia haemolytica,Myoviridae,Gammaproteobacteria,Prokaryote,DQ426905,58
NC_008201,376820,376820-1,34525,Mannheimia virus PHL101,dsDNA,75985,Mannheimia haemolytica,Myoviridae,Gammaproteobacteria,Prokaryote,NC_008201,59
JN255163,1182515,1182515-1,34719,Mannheimia phage vB_MhM_1152AP,dsDNA,75985,Mannheimia haemolytica,Myoviridae,Gammaproteobacteria,Prokaryote,JN255163,60
NC_023588,1168563,1168563-1,33525,Stenotrophomonas phage Smp131,dsDNA,40324,Stenotrophomonas maltophilia,Myoviridae,Gammaproteobacteria,Prokaryote,NC_023588,61
NC_003278,35343,35343-1,35580,Pseudomonas virus phiCTX,dsDNA,287,Pseudomonas aeruginosa,Myoviridae,Gammaproteobacteria,Prokaryote,NC_003278,62
NC_021343,1282994,1282994-1,35430,Burkholderia phage ST79,dsDNA,28450,Burkholderia pseudomallei,Myoviridae,Betaproteobacteria,Prokaryote,NC_021343,63
NC_009382,406340,406340-1,38760,Ralstonia virus RSA1,dsDNA,305,Ralstonia solanacearum,Myoviridae,Betaproteobacteria,Prokaryote,NC_009382,64
NC_025115,1530085,1530085-1,40002,Ralstonia phage RSY1,dsDNA,305,Ralstonia solanacearum,Myoviridae,Betaproteobacteria,Prokaryote,NC_025115,65
NC_015265,910473,910473-1,37236,Burkholderia phage KS5,dsDNA,95486,Burkholderia cenocepacia,Myoviridae,Betaproteobacteria,Prokaryote,NC_015265,66
NC_015273,910475,910475-1,32317,Burkholderia phage KS14,dsDNA,87882,-,Myoviridae,-,Prokaryote,NC_015273,67
NC_015266,910474,910474-1,40555,Burkholderia phage KL3,dsDNA,152480,Burkholderia ambifaria,Myoviridae,Betaproteobacteria,Prokaryote,NC_015266,68
NC_009236,431892,431892-1,36690,Burkholderia virus phiE122,dsDNA,28450,Burkholderia pseudomallei,Myoviridae,Betaproteobacteria,Prokaryote,NC_009236,69
NC_009234,431893,431893-1,35741,Burkholderia virus phiE202,dsDNA,57975,Burkholderia thailandensis,Myoviridae,Betaproteobacteria,Prokaryote,NC_009234,70
NC_007145,332032,332032-1,37639,Burkholderia virus phi52237,dsDNA,28450,Burkholderia pseudomallei,Myoviridae,Betaproteobacteria,Prokaryote,NC_007145,71
JX681814,1235712,1235712-1,37637,Burkholderia phage phiX216,dsDNA,32008,Burkholderia,Myoviridae,Betaproteobacteria,Prokaryote,JX681814,72
CP008753,1514988,1514988-1,37631,Burkholderia phage BEK,dsDNA,441158,Burkholderia pseudomallei 9,Myoviridae,Betaproteobacteria,Prokaryote,CP008753,73
NC_026014,1567486,1567486-1,35814,Enterobacteria phage P88,dsDNA,91347,Enterobacterales,Myoviridae,Gammaproteobacteria,Prokaryote,NC_026014,74
NC_028701,1647466,1647466-1,33509,Salmonella phage SEN5,dsDNA,590,Salmonella,Myoviridae,Gammaproteobacteria,Prokaryote,NC_028701,75
NC_029015,1647465,1647465-1,33509,Salmonella phage SEN4,dsDNA,28901,Salmonella enterica,Myoviridae,Gammaproteobacteria,Prokaryote,NC_029015,76
NC_010463,194701,194701-1,33693,Salmonella virus Fels2,dsDNA,590,Salmonella,Myoviridae,Gammaproteobacteria,Prokaryote,NC_010463,77
NC_019488,929814,929814-1,34117,Salmonella phage RE-2010,dsDNA,590,Salmonella,Myoviridae,Gammaproteobacteria,Prokaryote,NC_019488,78
NC_019932,947843,947843-1,29564,Erwinia phage ENT90,dsDNA,552,Erwinia amylovora,Myoviridae,Gammaproteobacteria,Prokaryote,NC_019932,79
NC_021774,1173769,1173769-1,29742,Salmonella phage FSL SP-004,dsDNA,108619,Salmonella enterica subsp. enterica serovar Newport,Myoviridae,Gammaproteobacteria,Prokaryote,NC_021774,80
NC_001317,29252,29252-1,30624,Escherichia virus 186,dsDNA,561,Escherichia,Myoviridae,Gammaproteobacteria,Prokaryote,NC_001317,81
NC_005340,12407,12407-1,30636,Salmonella virus PsP3,dsDNA,590,Salmonella,Myoviridae,Gammaproteobacteria,Prokaryote,NC_005340,82
NC_029003,1647455,1647455-1,29733,Salmonella phage SEN1,dsDNA,590,Salmonella,Myoviridae,Gammaproteobacteria,Prokaryote,NC_029003,83
NC_022750,1357825,1357825-1,33628,Enterobacteria phage fiAA91-ss,dsDNA,543,Enterobacteriaceae,Myoviridae,Gammaproteobacteria,Prokaryote,NC_022750,84
NC_004745,227940,227940-1,30728,Yersinia virus L413C,dsDNA,632,Yersinia pestis,Myoviridae,Gammaproteobacteria,Prokaryote,NC_004745,85
NC_005056,103216,103216-1,32684,Escherichia virus Wphi,dsDNA,566546,Escherichia coli W,Myoviridae,Gammaproteobacteria,Prokaryote,NC_005056,86
NC_001895,10679,10679-1,33593,Escherichia virus P2,dsDNA,562,Escherichia coli,Myoviridae,Gammaproteobacteria,Prokaryote,NC_001895,87
NC_028943,1649240,1649240-1,29237,Escherichia phage pro483,dsDNA,562,Escherichia coli,Myoviridae,Gammaproteobacteria,Prokaryote,NC_028943,88
NC_028896,1649239,1649239-1,32675,Escherichia phage pro147,dsDNA,562,Escherichia coli,Myoviridae,Gammaproteobacteria,Prokaryote,NC_028896,89
NC_019930,981335,981335-1,49219,Tetrasphaera phage TJE1,dsDNA,330834,Tetrasphaera jenkinsii,-,Actinobacteria,Prokaryote,NC_019930,90
NC_021328,1273749,1273749-1,143855,Halovirus HGTV-1,dsDNA,1089732,Halogranum sp. SS5-1,-,Euryarchaeota,Prokaryote,NC_021328,91
NC_020159,1262527,1262527-1,68527,Halovirus HSTV-2,dsDNA,35743,Halorubrum sodomense,-,Euryarchaeota,Prokaryote,NC_020159,92
NC_021335,1273754,1273754-1,69048,Halovirus HRTV-7,dsDNA,1089735,Halorubrum sp. B2-2,-,Euryarchaeota,Prokaryote,NC_021335,93
NC_021321,1273755,1273755-1,74519,Halovirus HRTV-8,dsDNA,1089735,Halorubrum sp. B2-2,-,Euryarchaeota,Prokaryote,NC_021321,94
NC_021320,1273753,1273753-1,76134,Halovirus HRTV-5,dsDNA,1089759,Halorubrum sp. s5a-3,-,Euryarchaeota,Prokaryote,NC_021320,95
NC_004927,222645,222645-1,75898,Halovirus HF1,dsDNA,2254,Haloferax lucentense,-,Euryarchaeota,Prokaryote,NC_004927,96
NC_003345,33771,33771-1,77670,Halorubrum phage HF2,dsDNA,56688,Halorubrum,-,Euryarchaeota,Prokaryote,NC_003345,97
NC_021329,1273752,1273752-1,35722,Halovirus HRTV-4,dsDNA,1089759,Halorubrum sp. s5a-3,-,Euryarchaeota,Prokaryote,NC_021329,98
NC_004084,114777,114777-1,58498,Natrialba phage PhiCh1,dsDNA,13769,Natrialba magadii,Myoviridae,Euryarchaeota,Prokaryote,NC_004084,99
NC_021471,1262530,1262530-1,32189,Halovirus HSTV-1,dsDNA,35742,Haloarcula sinaiiensis,-,Euryarchaeota,Prokaryote,NC_021471,100
NC_021537,754066,754066-1,39784,Halorubrum phage CGphi46,dsDNA,56688,Halorubrum,-,Euryarchaeota,Prokaryote,NC_021537,101
NC_008695,416419,416419-1,42271,Archaeal BJ1 virus,dsDNA,56688,Halorubrum,Siphoviridae,Euryarchaeota,Prokaryote,NC_008695,102
NC_021340,1273751,1273751-1,52643,Halovirus HHTV-2,dsDNA,51589,Haloarcula hispanica,-,Euryarchaeota,Prokaryote,NC_021340,103
NC_021319,1273747,1273747-1,54291,Halovirus HCTV-2,dsDNA,244363,Haloarcula californiae,-,Euryarchaeota,Prokaryote,NC_021319,104
NC_021330,1273746,1273746-1,103257,Halovirus HCTV-1,dsDNA,244363,Haloarcula californiae,-,Euryarchaeota,Prokaryote,NC_021330,105
NC_020158,1262528,1262528-1,102319,Halovirus HVTV-1,dsDNA,28442,Haloarcula vallismortis,-,Euryarchaeota,Prokaryote,NC_020158,106
NC_021327,1273748,1273748-1,102105,Halovirus HCTV-5,dsDNA,244363,Haloarcula californiae,-,Euryarchaeota,Prokaryote,NC_021327,107
NC_009816,384848,384848-1,70579,Corynebacterium phage P1201,dsDNA,1718,Corynebacterium glutamicum,Siphoviridae,Actinobacteria,Prokaryote,NC_009816,108
NC_028653,1647475,1647475-1,67617,Gordonia phage GTE8,dsDNA,2055,Gordonia terrae,Siphoviridae,Actinobacteria,Prokaryote,NC_028653,109
NC_016434,319522,319522-1,65839,Gordonia phage GTE5,dsDNA,2055,Gordonia terrae,Siphoviridae,Actinobacteria,Prokaryote,NC_016434,110
NC_016435,1109710,1109710-1,65766,Gordonia phage GRU1,dsDNA,36822,Gordonia rubripertincta,Siphoviridae,Actinobacteria,Prokaryote,NC_016435,111
NC_022053,1383056,1383056-1,70657,Mycobacterium phage Papyrus,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_022053,112
NC_023691,1074308,1074308-1,70506,Mycobacterium phage Patience,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_023691,113
NC_004689,205880,205880-1,70797,Mycobacterium phage Barnyard,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_004689,114
NC_011039,543153,543153-1,70110,Mycobacterium phage Predator,dsDNA,1772,Mycolicibacterium smegmatis,Siphoviridae,Actinobacteria,Prokaryote,NC_011039,115
NC_011292,563121,563121-1,68952,Mycobacterium phage Konstantine,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_011292,116
NC_023578,1445727,1445727-1,69099,Mycobacterium phage Oaker,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_023578,117
NC_024371,1486469,1486469-1,68386,Mycobacterium phage Damien,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_024371,118
NC_031001,1887654,1887654-1,66611,Gordonia phage Terapin,dsDNA,2055,Gordonia terrae,Siphoviridae,Actinobacteria,Prokaryote,NC_031001,119
NC_024209,1458711,1458711-1,67383,Mycobacterium phage Hawkeye,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_024209,120
JN699014,1089130,1089130-1,65108,Mycobacterium phage Nova,dsDNA,246196,Mycolicibacterium smegmatis MC2 155,Siphoviridae,Actinobacteria,Prokaryote,JN699014,121
JF937107,1034117,1034117-1,64791,Mycobacterium phage SirHarley,dsDNA,246196,Mycolicibacterium smegmatis MC2 155,Siphoviridae,Actinobacteria,Prokaryote,JF937107,122
NC_011290,561998,561998-1,64807,Mycobacterium phage Gumball,dsDNA,246196,Mycolicibacterium smegmatis MC2 155,Siphoviridae,Actinobacteria,Prokaryote,NC_011290,123
NC_008200,373411,373411-1,64787,Mycobacterium phage PLot,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_008200,124
NC_011285,561999,561999-1,64618,Mycobacterium phage Troll4,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_011285,125
FJ168660,561997,561997-1,64562,Mycobacterium phage Butterscotch,dsDNA,246196,Mycolicibacterium smegmatis MC2 155,Siphoviridae,Actinobacteria,Prokaryote,FJ168660,126
NC_008198,373410,373410-1,64494,Mycobacterium phage PBI1,dsDNA,1762,-,Siphoviridae,-,Prokaryote,NC_008198,127
EU676000,528321,528321-1,64511,Mycobacterium phage Adjutor,dsDNA,1763,Mycobacterium,Siphoviridae,Actinobacteria,Prokaryote,EU676000,128
NC_029075,1589748,1589748-1,81541,Achromobacter phage JWF,dsDNA,85698,Achromobacter xylosoxidans,Siphoviridae,Betaproteobacteria,Prokaryote,NC_029075,129
NC_011589,573591,573591-1,40287,Stenotrophomonas phage S1,dsDNA,40324,Stenotrophomonas maltophilia,Siphoviridae,Gammaproteobacteria,Prokaryote,NC_011589,130
NC_001609,10680,10680-1,11624,Enterobacteria phage P4,dsDNA,10679,Escherichia virus P2,-,-,Virus,NC_001609,131
NC_027334,1503929,1503929-1,47800,Aurantimonas phage AmM-1,dsDNA,1503040,Aurantimonas sp. C5-1,Podoviridae,Alphaproteobacteria,Prokaryote,NC_027334,132
NC_025427,1498228,1498228-1,54506,Rhizobium phage vB_RleM_PPF1,dsDNA,379,Rhizobium,Myoviridae,Alphaproteobacteria,Prokaryote,NC_025427,133
NC_021560,929833,929833-1,53102,Rhizobium phage RR1-A,dsDNA,227290,-,Myoviridae,-,Prokaryote,NC_021560,134
NC_020840,754070,754070-1,38987,Tetraselmis viridis virus S20,dsDNA,748148,Tetraselmis viridis,-,Chlorophyta,Eukaryote,NC_020840,135
NC_010355,467481,467481-1,62337,Azospirillum phage Cd,dsDNA,191,Azospirillum,Siphoviridae,Alphaproteobacteria,Prokaryote,NC_010355,136
NC_031254,1796996,1796996-1,58560,Arthrobacter phage Kitkat,dsDNA,1771959,Arthrobacter sp. ATCC 21022,Siphoviridae,Actinobacteria,Prokaryote,NC_031254,137
NC_031231,1796995,1796995-1,58871,Arthrobacter phage KellEzio,dsDNA,1771959,Arthrobacter sp. ATCC 21022,Siphoviridae,Actinobacteria,Prokaryote,NC_031231,138
NC_005264,50294,50294-1,163025,Psittacid alphaherpesvirus 1,dsDNA,152276,Amazona oratrix,Herpesviridae,Chordata,Eukaryote,NC_005264,139
NC_006623,10386,10386-1,148687,Gallid alphaherpesvirus 1,dsDNA,9031,Gallus gallus,Herpesviridae,Chordata,Eukaryote,NC_006623,140
NC_027916,1561226,1561226-1,160358,Testudinid herpesvirus 3,dsDNA,101699,Testudo horsfieldii,Herpesviridae,Chordata,Eukaryote,NC_027916,141
NC_028891,70564,70564-1,22947,Hawaiian green turtle herpesvirus,dsDNA,8469,Chelonia mydas,Herpesviridae,Chordata,Eukaryote,NC_028891,142
NC_029132,137443,137443-1,140122,Macropodid alphaherpesvirus 1,dsDNA,9307,Macropodidae,Herpesviridae,Chordata,Eukaryote,NC_029132,143
NC_014567,10353,10353-1,156742,Saimiriine alphaherpesvirus 1,dsDNA,9498,-,Herpesviridae,-,Eukaryote,NC_014567,144
NC_034446,35243,35243-1,147346,Ateline alphaherpesvirus 1,dsDNA,9506,Ateles,Herpesviridae,Chordata,Eukaryote,NC_034446,145
NC_024306,1343901,1343901-1,149459,Fruit bat alphaherpesvirus 1,dsDNA,1562770,Pteropus sp.,Herpesviridae,Chordata,Eukaryote,NC_024306,146
NC_029311,481315,481315-1,124049,Leporid alphaherpesvirus 4,dsDNA,9986,Oryctolagus cuniculus,Herpesviridae,Chordata,Eukaryote,NC_029311,147
NC_004812,10325,10325-1,156789,Macacine alphaherpesvirus 1,dsDNA,9526,-,Herpesviridae,-,Eukaryote,NC_004812,148
NC_007653,340907,340907-1,156487,Papiine alphaherpesvirus 2,dsDNA,9526,-,Herpesviridae,-,Eukaryote,NC_007653,149
NC_006560,10317,10317-1,150715,Cercopithecine alphaherpesvirus 2,dsDNA,9526,-,Herpesviridae,-,Eukaryote,NC_006560,150
NC_001806,10298,10298-1,152222,Human alphaherpesvirus 1,dsDNA,9606,Homo sapiens,Herpesviridae,Chordata,Eukaryote,NC_001806,151
NC_001798,10310,10310-1,154675,Human alphaherpesvirus 2,dsDNA,9606,Homo sapiens,Herpesviridae,Chordata,Eukaryote,NC_001798,152
NC_023677,332937,332937-1,153158,Chimpanzee herpesvirus strain 105640,dsDNA,9598,Pan troglodytes,Herpesviridae,Chordata,Eukaryote,NC_023677,153
NC_024450,1510155,1510155-1,204054,Falconid herpesvirus 1,dsDNA,279964,Falco mexicanus,Herpesviridae,Chordata,Eukaryote,NC_024450,154
NC_034266,93386,93386-1,204237,Columbid alphaherpesvirus 1,dsDNA,8932,Columba livia,Herpesviridae,Chordata,Eukaryote,NC_034266,155
NC_002641,37108,37108-1,159160,Meleagrid alphaherpesvirus 1,dsDNA,9005,Phasianidae,Herpesviridae,Chordata,Eukaryote,NC_002641,156
AB024414,36353,36353-1,110637,Marek's disease virus serotype 2 MDV2,dsDNA,9031,Gallus gallus,Herpesviridae,Chordata,Eukaryote,AB024414,157
NC_002577,35250,35250-1,164270,Gallid alphaherpesvirus 3,dsDNA,9031,Gallus gallus,Herpesviridae,Chordata,Eukaryote,NC_002577,158
JF742597,1123959,1123959-1,172541,Gallid herpesvirus 2 strain 814,dsDNA,9031,Gallus gallus,Herpesviridae,Chordata,Eukaryote,JF742597,159
NC_002229,10390,10390-1,177874,Gallid alphaherpesvirus 2,dsDNA,9031,Gallus gallus,Herpesviridae,Chordata,Eukaryote,NC_002229,160
NC_033464,2169402,2169402-1,164540,Sphenicid alphaherpesvirus 1,dsDNA,-,-,Herpesviridae,-,-,NC_033464,161
NC_013036,104388,104388-1,158091,Anatid alphaherpesvirus 1,dsDNA,8830,Anatidae,Herpesviridae,Chordata,Eukaryote,NC_013036,162
NC_002686,35246,35246-1,124784,Cercopithecine alphaherpesvirus 9,dsDNA,9528,Cercopithecinae,Herpesviridae,Chordata,Eukaryote,NC_002686,163
X04370,10338,10338-1,124884,Human herpesvirus 3 strain Dumas,dsDNA,9606,Homo sapiens,Herpesviridae,Chordata,Eukaryote,X04370,164
NC_001348,10335,10335-1,124884,Human alphaherpesvirus 3,dsDNA,9606,Homo sapiens,Herpesviridae,Chordata,Eukaryote,NC_001348,165
NC_006151,10345,10345-1,143461,Suid alphaherpesvirus 1,dsDNA,9823,Sus scrofa,Herpesviridae,Chordata,Eukaryote,NC_006151,166
NC_013590,10334,10334-1,135797,Felid alphaherpesvirus 1,dsDNA,9681,Felidae,Herpesviridae,Chordata,Eukaryote,NC_013590,167
NC_030117,170325,170325-1,125171,Canid alphaherpesvirus 1,dsDNA,9615,Canis lupus familiaris,Herpesviridae,Chordata,Eukaryote,NC_030117,168
NC_024771,80341,80341-1,151601,Equid alphaherpesvirus 3,dsDNA,9796,Equus caballus,Herpesviridae,Chordata,Eukaryote,NC_024771,169
NC_001844,10331,10331-1,145597,Equid alphaherpesvirus 4,dsDNA,9796,Equus caballus,Herpesviridae,Chordata,Eukaryote,NC_001844,170
NC_001491,10326,10326-1,150224,Equid alphaherpesvirus 1,dsDNA,9796,Equus caballus,Herpesviridae,Chordata,Eukaryote,NC_001491,171
NC_011644,55744,55744-1,148371,Equid alphaherpesvirus 9,dsDNA,9789,Equus,Herpesviridae,Chordata,Eukaryote,NC_011644,172
